Ambient Temperature(C): 23.9
Ambient Pressure(in Hg): 29.9
Time(s)	T1(Deg C)	Wall Temp(Deg C)	Top Plate(Deg C)	Bottom Plate(Deg C)	P1(PSI)	P2(PSI)	Mass Flowrate(g/min)	Heater Energy (kJ)

0.00	25.20	28.60	27.50	26.40	1.00	2.00	-0.12	0.00
0.10	25.20	28.60	27.50	26.40	0.50	2.20	-0.17	0.00
0.20	25.40	28.70	27.60	26.50	0.80	1.10	-0.12	0.00
0.30	25.30	28.50	27.40	26.40	1.10	1.90	-0.09	0.00
0.40	25.30	28.50	27.40	26.40	0.70	2.40	-0.09	0.00
0.50	25.30	28.70	27.60	26.50	0.40	2.00	-0.09	0.00
0.60	25.40	28.60	27.60	26.60	0.80	1.90	-0.14	0.00
0.70	25.40	28.60	27.60	26.60	0.80	1.90	-0.09	0.00
0.80	25.40	28.60	27.60	26.60	0.80	2.40	-0.17	0.00
0.90	25.40	28.60	27.50	26.50	1.00	2.40	-0.07	0.00
1.00	25.40	28.60	27.50	26.50	0.40	1.90	-0.09	0.00
1.10	25.60	28.70	27.60	26.60	2.00	1.40	-0.12	0.00
1.20	25.50	28.70	27.50	26.50	1.60	2.00	-0.12	0.00
1.30	25.50	28.70	27.50	26.50	0.50	1.90	-0.12	0.00
1.40	25.40	28.60	27.30	26.40	0.80	2.40	-0.12	0.00
1.50	25.60	28.60	27.50	26.60	0.50	2.20	-0.12	0.00
1.60	25.60	28.60	27.50	26.60	0.50	2.20	-0.12	0.00
1.70	25.50	28.60	27.60	26.50	0.80	2.00	-0.12	0.00
1.80	25.60	28.60	27.40	26.50	2.20	1.90	-0.12	0.00
1.90	25.60	28.60	27.40	26.50	0.70	2.00	-0.14	0.00
2.00	25.50	28.60	27.50	26.50	0.70	0.70	-0.12	0.00
2.10	25.70	28.70	27.60	26.50	0.80	1.90	-0.07	0.00
2.20	25.70	28.70	27.60	26.50	1.10	2.00	-0.07	0.00
2.30	25.80	28.60	27.70	26.70	0.80	1.90	-0.12	0.00
2.40	25.80	28.60	27.70	26.70	0.40	2.00	-0.07	0.00
2.50	25.70	28.60	27.40	26.50	0.50	1.70	-0.09	0.00
2.60	25.70	28.80	27.70	26.70	0.50	1.70	-0.12	0.00
2.70	25.70	28.80	27.70	26.70	0.70	2.00	-0.09	0.00
2.80	25.80	28.70	27.60	26.60	0.70	1.40	-0.12	0.00
2.90	25.60	28.60	27.40	26.30	1.10	2.20	-0.12	0.00
3.00	25.60	28.60	27.40	26.30	0.70	2.00	-0.12	0.00
3.10	25.70	28.70	27.50	26.50	1.30	2.00	-0.12	0.00
