Ambient Temperature(C): 23.9
Ambient Pressure(in Hg): 29.9
Time(s)	T1(Deg C)	Wall Temp(Deg C)	Top Plate(Deg C)	Bottom Plate(Deg C)	P1(PSI)	P2(PSI)	Mass Flowrate(g/min)	Heater Energy (kJ)

0.00	27.20	28.50	28.30	26.70	0.80	2.00	0.00	0.00
0.10	27.10	28.30	28.30	26.70	0.50	2.40	0.00	0.00
0.20	27.10	28.30	28.30	26.70	0.80	1.40	0.00	0.00
0.30	27.10	28.40	28.40	26.70	0.80	1.40	0.00	0.00
0.40	27.20	28.30	28.20	26.70	0.80	2.20	0.00	0.00
0.50	27.20	28.30	28.20	26.70	0.40	2.20	0.00	0.00
0.60	27.10	28.30	28.30	26.70	0.70	1.90	0.00	0.00
0.70	27.10	28.30	28.30	26.60	0.40	2.20	0.00	0.00
0.80	27.10	28.30	28.30	26.60	0.80	2.20	0.00	0.00
0.90	27.10	28.30	28.20	26.60	1.00	2.20	0.00	0.00
1.00	27.10	28.30	28.10	26.50	0.50	1.90	0.00	0.00
1.10	27.10	28.30	28.10	26.50	1.00	2.40	0.00	0.00
1.20	27.20	28.30	28.30	26.60	1.00	2.40	0.00	0.00
1.30	27.10	28.20	28.30	26.60	1.00	2.50	0.00	0.00
1.40	27.10	28.20	28.30	26.60	0.70	2.00	0.00	0.00
1.50	27.10	28.30	28.30	26.60	1.10	2.20	0.00	0.00
1.60	27.30	28.30	28.20	26.70	0.80	2.00	0.00	0.00
1.70	27.30	28.30	28.20	26.70	1.10	1.90	0.00	0.00
1.80	27.00	28.30	28.20	26.60	1.10	2.20	0.00	0.00
1.90	27.10	28.30	28.30	26.60	0.50	2.20	0.00	0.00
2.00	27.10	28.30	28.30	26.60	0.70	2.00	0.00	0.00
2.10	27.20	28.40	28.30	26.60	1.10	1.90	0.00	0.00
2.20	27.30	28.30	28.30	26.70	1.10	1.90	0.00	0.00
2.30	27.30	28.30	28.30	26.70	0.80	2.40	0.00	0.00
2.40	27.10	28.30	28.30	26.60	0.80	2.20	0.00	0.00
2.50	27.20	28.40	28.30	26.60	0.70	2.20	0.00	0.00
2.60	27.20	28.40	28.30	26.60	0.70	2.40	0.00	0.00
2.70	27.30	28.40	28.30	26.70	1.00	2.00	0.00	0.00
2.80	27.20	28.30	28.30	26.60	0.50	2.20	0.00	0.00
2.90	27.20	28.30	28.30	26.60	0.50	1.70	0.00	0.00
3.00	27.20	28.40	28.40	26.60	0.80	2.00	0.00	0.00
3.10	27.20	28.20	28.20	26.50	0.80	2.00	0.00	0.00
3.20	27.20	28.20	28.20	26.50	0.50	2.20	0.00	0.00
3.30	27.10	28.20	28.30	26.60	0.70	2.00	0.00	0.00
3.40	27.10	28.20	28.30	26.60	0.80	1.70	0.00	0.00
3.50	27.30	28.30	28.30	26.60	0.50	2.20	0.00	0.00
3.60	27.30	28.30	28.30	26.60	1.00	1.10	0.00	0.00
3.70	27.40	28.30	28.30	26.70	1.30	1.90	0.00	0.00
3.80	27.30	28.30	28.40	26.70	0.70	2.00	0.00	0.00
3.90	27.30	28.30	28.40	26.70	0.70	2.20	0.00	0.00
4.00	27.20	28.30	28.20	26.60	0.70	2.00	0.00	0.00
4.10	27.30	28.30	28.30	26.60	0.70	2.00	0.00	0.00
4.20	27.30	28.30	28.30	26.60	0.50	2.20	0.00	0.00
4.30	27.30	28.20	28.30	26.70	0.80	2.40	0.00	0.00
4.40	27.20	28.30	28.10	26.60	0.80	2.50	0.00	0.00
4.50	27.20	28.30	28.10	26.60	0.50	2.00	0.00	0.00
4.60	27.20	28.40	28.30	26.60	1.30	2.20	0.00	0.00
4.70	27.30	28.30	28.30	26.60	1.00	1.90	0.00	0.00
4.80	27.30	28.30	28.30	26.60	1.00	2.00	0.00	0.00
4.90	27.30	28.40	28.20	26.50	0.80	2.00	0.00	0.00
5.00	27.30	28.30	28.30	26.60	0.80	2.00	0.00	0.00
5.10	27.30	28.30	28.30	26.60	0.40	2.20	0.00	0.00
5.20	27.30	28.30	28.20	26.60	-0.90	1.90	0.00	0.00
5.30	27.30	28.30	28.30	26.70	0.40	2.20	0.00	0.00
5.40	27.30	28.30	28.30	26.70	0.70	1.90	0.00	0.00
5.50	27.40	28.40	28.30	26.70	0.50	2.40	0.00	0.00
5.60	27.40	28.30	28.20	26.50	0.80	2.40	0.00	0.00
5.70	27.40	28.30	28.20	26.50	1.00	1.90	0.00	0.00
5.80	27.30	28.30	28.20	26.60	0.80	2.20	0.00	0.00
5.90	27.40	28.40	28.30	26.70	0.80	2.20	0.00	0.00
6.00	27.40	28.40	28.30	26.70	0.70	2.00	0.00	0.00
6.10	27.30	28.30	28.30	26.70	1.10	2.50	0.00	0.00
6.20	27.30	28.30	28.30	26.70	1.10	2.00	0.00	0.00
6.30	27.30	28.30	28.20	26.60	0.80	0.80	0.00	0.00
6.40	27.40	28.30	28.20	26.70	0.80	2.50	0.00	0.00
6.50	27.40	28.30	28.30	26.60	1.10	2.20	0.00	0.00
6.60	27.40	28.30	28.30	26.60	0.50	2.20	0.00	0.00
6.70	27.40	28.30	28.20	26.60	0.80	2.00	0.00	0.00
6.80	27.30	28.20	28.10	26.60	0.70	2.40	0.00	0.00
6.90	27.30	28.20	28.10	26.60	0.70	2.40	0.00	0.00
7.00	27.40	28.30	28.40	26.60	1.00	1.90	0.00	0.00
7.10	27.30	28.20	28.20	26.50	0.70	2.40	0.00	0.00
7.20	27.30	28.20	28.20	26.50	0.50	2.20	0.00	0.00
7.30	27.50	28.50	28.40	26.70	0.80	1.90	0.00	0.00
7.40	27.50	28.50	28.40	26.70	0.80	2.50	0.00	0.00
7.50	27.30	28.20	28.20	26.60	0.70	1.70	0.00	0.00
7.60	27.40	28.30	28.30	26.60	0.80	2.50	0.00	0.00
7.70	27.40	28.30	28.30	26.60	0.70	3.30	0.00	0.00
7.80	27.40	28.50	28.30	26.60	0.70	3.30	0.00	0.00
7.90	27.40	28.30	28.20	26.50	0.80	1.90	0.00	0.00
8.00	27.40	28.30	28.20	26.50	1.00	2.50	0.00	0.00
8.10	27.50	28.30	28.30	26.70	0.80	2.50	0.00	0.00
8.20	27.50	28.40	28.20	26.70	1.00	2.40	0.00	0.00
8.30	27.50	28.40	28.20	26.70	0.80	2.20	0.00	0.00
8.40	27.50	28.40	28.40	26.60	0.70	2.00	0.00	0.00
8.50	27.40	28.30	28.10	26.60	0.70	3.10	0.00	0.00
8.60	27.40	28.30	28.10	26.60	0.40	2.20	0.00	0.00
8.70	27.40	28.20	28.20	26.60	0.80	2.40	0.00	0.00
8.80	27.40	28.20	28.20	26.60	0.80	2.40	0.00	0.00
8.90	27.40	28.30	28.20	26.70	0.50	2.20	0.00	0.00
9.00	27.50	28.40	28.30	26.70	0.70	2.00	0.00	0.00
9.10	27.50	28.40	28.30	26.70	0.80	2.00	0.00	0.00
9.20	27.50	28.40	28.30	26.70	1.00	2.40	0.00	0.00
9.30	27.60	28.50	28.30	26.60	1.00	2.70	0.00	0.00
