Ambient Temperature(C): 23.9
Ambient Pressure(in Hg): 29.9
Time(s)	T1(Deg C)	Wall Temp(Deg C)	Top Plate(Deg C)	Bottom Plate(Deg C)	P1(PSI)	P2(PSI)	Mass Flowrate(g/min)	Heater Energy (kJ)

0.00	33.40	32.50	29.70	27.20	1.60	2.20	0.17	0.00
0.10	33.70	32.70	29.80	27.40	1.70	2.20	0.14	0.00
0.20	33.70	32.70	29.80	27.40	1.90	1.70	0.12	0.00
0.30	33.50	32.50	29.70	27.30	2.00	2.40	0.14	0.00
0.40	33.50	32.50	29.70	27.30	1.90	2.50	0.14	0.00
0.50	33.50	32.60	29.70	27.30	1.90	2.50	0.14	0.00
0.60	33.60	32.50	29.80	27.40	2.00	1.90	0.12	0.00
0.70	33.60	32.50	29.80	27.40	2.00	2.20	0.09	0.00
0.80	33.40	32.50	29.70	27.30	2.00	2.20	0.17	0.00
0.90	33.60	32.70	29.80	27.40	1.90	2.20	0.12	0.00
1.00	33.60	32.70	29.80	27.40	1.90	1.90	0.12	0.00
1.10	33.40	32.40	29.70	27.20	1.70	2.40	0.12	0.00
1.20	33.40	32.40	29.70	27.20	1.70	2.20	0.12	0.00
1.30	33.40	32.40	29.70	27.20	1.40	2.50	0.12	0.00
1.40	33.50	32.50	29.70	27.30	1.40	2.50	0.17	0.00
1.50	33.50	32.50	29.70	27.30	1.70	2.00	0.14	0.00
1.60	33.50	32.50	29.70	27.30	1.70	2.20	0.12	0.00
1.70	33.50	32.50	29.70	27.30	1.60	2.00	0.12	0.00
1.80	33.60	32.50	29.80	27.40	1.70	2.40	0.12	0.00
1.90	33.50	32.50	29.70	27.30	1.60	2.70	0.19	0.00
2.00	33.50	32.50	29.70	27.30	1.90	1.70	0.14	0.00
2.10	33.60	32.60	29.80	27.50	2.20	2.40	0.09	0.00
2.20	33.50	32.60	29.80	27.40	1.70	2.70	0.09	0.00
2.30	33.50	32.60	29.80	27.40	1.40	2.40	0.14	0.00
2.40	33.60	32.50	29.80	27.40	1.40	2.40	0.12	0.00
2.50	33.60	32.50	29.80	27.40	1.60	2.50	0.09	0.00
2.60	33.40	32.60	29.70	27.40	1.70	1.90	0.09	0.00
2.70	33.40	32.60	29.70	27.40	1.90	0.00	0.12	0.00
2.80	33.60	32.50	29.80	27.40	1.70	2.40	0.12	0.00
2.90	33.50	32.60	29.70	27.30	1.60	2.40	0.17	0.00
3.00	33.50	32.60	29.70	27.30	2.00	2.20	0.14	0.00
3.10	33.60	32.60	29.80	27.40	1.70	2.40	0.12	0.00
3.20	33.50	32.40	29.60	27.30	1.70	2.20	0.14	0.00
3.30	33.50	32.40	29.60	27.30	1.70	2.50	0.12	0.00
3.40	33.40	32.50	29.70	27.40	2.00	2.20	0.12	0.00
3.50	33.40	32.60	29.70	27.30	2.00	1.90	0.14	0.00
3.60	33.40	32.60	29.70	27.30	1.90	2.20	0.14	0.00
3.70	33.60	32.50	29.80	27.40	2.20	2.00	0.12	0.00
3.80	33.60	32.50	29.80	27.40	1.70	2.00	0.12	0.00
3.90	33.50	32.50	29.70	27.40	1.60	1.90	0.14	0.00
4.00	33.50	32.60	29.80	27.30	1.90	2.40	0.12	0.00
4.10	33.50	32.60	29.80	27.30	1.70	2.50	0.14	0.00
4.20	33.70	32.60	29.80	27.20	1.70	2.50	0.07	0.00
4.30	33.60	32.60	29.70	27.40	1.60	1.90	0.09	0.00
4.40	33.60	32.60	29.70	27.40	1.70	2.40	0.12	0.00
4.50	33.60	32.60	29.80	27.40	1.90	1.90	0.05	0.00
4.60	33.50	32.50	29.70	27.30	2.00	2.00	0.07	0.00
4.70	33.50	32.50	29.70	27.30	1.70	2.50	0.07	0.00
4.80	33.60	32.50	29.80	27.40	1.90	2.50	0.12	0.00
4.90	33.50	32.40	29.70	27.30	1.60	2.20	0.09	0.00
5.00	33.50	32.40	29.70	27.30	2.80	1.70	0.07	0.00
5.10	33.60	32.60	29.80	27.30	1.60	2.20	0.12	0.00
5.20	33.60	32.60	29.80	27.30	1.60	2.20	0.09	0.00
5.30	33.60	32.40	29.90	27.40	1.70	1.90	0.09	0.00
5.40	33.50	32.50	29.70	27.30	1.60	2.00	0.12	0.00
5.50	33.50	32.50	29.70	27.30	1.40	2.40	0.14	0.00
5.60	33.70	32.50	29.70	27.30	2.00	2.00	0.12	0.00
5.70	33.70	32.70	29.90	27.50	1.70	2.40	0.12	0.00
5.80	33.70	32.70	29.90	27.50	1.70	2.20	0.07	0.00
5.90	33.60	32.60	29.70	27.50	2.00	2.00	0.09	0.00
6.00	33.60	32.60	29.80	27.20	1.60	1.90	0.12	0.00
6.10	33.60	32.60	29.80	27.20	1.60	1.90	0.09	0.00
6.20	33.70	32.50	29.70	27.30	1.70	2.40	0.09	0.00
6.30	33.70	32.50	29.70	27.30	1.70	2.20	0.07	0.00
6.40	33.60	32.40	29.90	27.30	1.60	2.40	0.12	0.00
6.50	33.60	32.50	29.70	27.30	2.00	2.20	0.14	0.00
6.60	33.60	32.50	29.70	27.30	2.00	2.20	0.09	0.00
6.70	33.60	32.50	29.70	27.20	1.90	2.00	0.09	0.00
6.80	33.60	32.60	29.80	27.30	1.90	2.40	0.07	0.00
6.90	33.60	32.60	29.80	27.30	1.90	2.20	0.12	0.00
7.00	33.50	32.40	29.60	27.30	1.90	2.20	0.12	0.00
7.10	33.60	32.50	29.80	27.30	1.60	2.70	0.09	0.00
7.20	33.60	32.50	29.80	27.30	1.60	2.00	0.14	0.00
7.30	33.70	32.60	29.70	27.40	2.40	1.90	0.12	0.00
7.40	33.60	32.40	29.80	27.20	2.00	1.90	0.07	0.00
7.50	33.60	32.40	29.80	27.20	1.70	2.40	0.12	0.00
7.60	33.70	32.60	29.70	27.30	2.00	2.70	0.05	0.00
7.70	33.60	32.50	29.70	27.30	1.90	2.50	0.09	0.00
7.80	33.60	32.50	29.70	27.30	2.00	2.40	0.12	0.00
7.90	33.60	32.40	29.80	27.30	1.90	2.50	0.09	0.00
8.00	33.80	32.50	29.80	27.30	1.90	2.50	0.07	0.00
8.10	33.80	32.50	29.80	27.30	1.40	2.20	0.07	0.00
8.20	33.70	32.50	29.80	27.30	1.60	2.00	0.12	0.00
8.30	33.60	32.60	29.80	27.40	1.60	1.90	0.09	0.00
8.40	33.60	32.60	29.80	27.40	1.90	2.70	0.09	0.00
8.50	33.60	32.50	29.70	27.30	1.70	2.40	0.12	0.00
8.60	33.60	32.50	29.70	27.30	1.60	2.50	0.07	0.00
8.70	33.60	32.50	29.70	27.30	1.40	3.00	0.07	0.00
8.80	33.50	32.50	29.70	27.30	1.70	2.00	0.12	0.00
8.90	33.50	32.50	29.70	27.30	1.70	2.00	0.09	0.00
9.00	33.80	32.60	29.80	27.40	2.00	2.00	0.12	0.00
9.10	33.70	32.50	29.80	27.30	1.90	2.40	0.14	0.00
9.20	33.70	32.50	29.80	27.30	1.30	2.50	0.14	0.00
9.30	33.50	32.50	29.60	27.30	1.70	2.00	0.12	0.00
9.40	33.60	32.60	29.70	27.30	2.20	2.00	0.12	0.00
9.50	33.60	32.60	29.70	27.30	1.60	2.40	0.12	0.00
9.60	33.60	32.50	29.70	27.20	1.70	2.20	0.09	0.00
9.70	33.70	32.60	29.80	27.40	2.00	2.40	0.12	0.00
9.80	33.70	32.60	29.80	27.40	2.00	2.50	0.12	0.00
9.90	33.70	32.60	29.80	27.50	2.00	2.50	0.12	0.00
10.00	33.70	32.60	29.80	27.30	1.90	2.20	0.17	0.00
10.10	33.70	32.50	29.80	27.30	2.00	2.20	0.12	0.00
10.20	33.70	32.50	29.80	27.30	2.20	2.00	0.12	0.00
10.30	33.60	32.60	29.80	27.40	1.70	2.00	0.09	0.00
10.40	33.60	32.60	29.80	27.40	2.20	2.00	0.14	0.00
10.50	33.50	32.40	29.70	27.20	2.00	1.90	0.12	0.00
10.60	33.60	32.40	29.60	27.30	2.00	1.90	0.12	0.00
10.70	33.60	32.40	29.60	27.30	1.60	2.40	0.07	0.00
10.80	33.40	32.40	29.60	27.20	1.60	2.40	0.12	0.00
10.90	33.70	32.50	29.70	27.30	1.70	2.40	0.12	0.00
11.00	33.70	32.50	29.70	27.30	2.00	2.40	0.09	0.00
11.10	33.60	32.50	29.80	27.30	1.70	2.40	0.09	0.00
11.20	33.60	32.60	29.60	27.40	1.60	2.40	0.12	0.00
11.30	33.60	32.60	29.60	27.40	1.60	2.20	0.09	0.00
11.40	33.50	32.30	29.60	27.20	2.00	2.40	0.07	0.00
11.50	33.60	32.60	29.70	27.30	1.70	2.70	0.12	0.00
11.60	33.60	32.60	29.70	27.30	1.90	2.00	0.14	0.00
11.70	33.50	32.50	29.70	27.30	1.90	2.00	0.09	0.00
11.80	33.80	32.60	29.80	27.40	1.70	2.00	0.14	0.00
11.90	33.80	32.60	29.80	27.40	2.00	1.90	0.14	0.00
12.00	33.60	32.50	29.80	27.30	2.00	2.40	0.12	0.00
12.10	33.60	32.40	29.80	27.30	1.70	2.50	0.12	0.00
12.20	33.60	32.40	29.80	27.30	1.70	2.40	0.14	0.00
12.30	33.70	32.50	29.70	27.40	1.60	2.00	0.07	0.00
12.40	33.70	32.60	29.70	27.40	1.70	2.20	0.07	0.00
12.50	33.70	32.60	29.70	27.40	1.70	2.20	0.12	0.00
12.60	33.60	32.50	29.70	27.10	2.00	2.00	0.09	0.00
12.70	33.60	32.50	29.70	27.10	1.70	2.20	0.12	0.00
12.80	33.70	32.40	29.70	27.40	2.00	2.00	0.14	0.00
12.90	33.60	32.50	29.70	27.20	3.10	1.60	0.12	0.00
13.00	33.60	32.50	29.70	27.20	1.90	2.20	0.12	0.00
13.10	33.60	32.50	29.80	27.30	2.00	2.00	0.12	0.00
13.20	33.80	32.50	29.70	27.40	1.60	2.00	0.09	0.00
13.30	33.80	32.50	29.70	27.40	1.90	2.20	0.14	0.00
13.40	33.50	32.40	29.60	27.20	1.70	1.90	0.19	0.00
13.50	33.70	32.50	29.80	27.30	1.90	2.20	0.12	0.00
13.60	33.70	32.50	29.80	27.30	1.90	2.20	0.12	0.00
13.70	33.70	32.50	29.80	27.30	1.90	1.90	0.12	0.00
13.80	33.70	32.50	29.80	27.30	1.60	2.20	0.14	0.00
13.90	33.80	32.40	29.70	27.30	2.00	2.40	0.14	0.00
14.00	33.70	32.40	29.60	27.40	1.60	2.40	0.14	0.00
14.10	33.70	32.40	29.60	27.40	2.00	2.00	0.17	0.00
14.20	33.70	32.60	29.80	27.30	1.70	2.20	0.14	0.00
14.30	33.80	32.60	29.90	27.40	1.60	2.20	0.09	0.00
14.40	33.80	32.60	29.90	27.40	1.60	2.40	0.12	0.00
14.50	33.70	32.50	29.70	27.40	1.60	2.40	0.12	0.00
14.60	33.70	32.50	29.70	27.40	1.60	2.50	0.07	0.00
14.70	33.80	32.60	29.70	27.30	1.40	2.00	0.12	0.00
14.80	33.60	32.50	29.70	27.40	2.00	2.40	0.12	0.00
14.90	33.60	32.50	29.70	27.40	1.90	2.40	0.07	0.00
15.00	33.70	32.50	29.70	27.40	1.70	1.90	0.09	0.00
15.10	33.70	32.40	29.70	27.40	1.90	2.00	0.07	0.00
15.20	33.70	32.40	29.70	27.40	2.00	2.00	0.07	0.00
15.30	33.70	32.50	29.90	27.40	1.60	2.20	0.07	0.00
15.40	33.70	32.50	29.80	27.30	2.20	2.50	0.07	0.00
15.50	33.70	32.50	29.80	27.30	2.20	2.50	0.09	0.00
15.60	33.80	32.40	29.70	27.30	2.20	2.40	0.43	0.00
15.70	33.70	32.40	29.70	27.30	1.70	2.20	0.78	0.00
15.80	33.70	32.40	29.70	27.30	1.70	2.50	0.78	0.00
15.90	33.70	32.50	29.80	27.40	1.70	2.00	0.32	0.00
16.00	33.70	32.50	29.80	27.30	1.60	2.70	0.81	0.00
16.10	33.70	32.50	29.80	27.30	1.70	2.40	0.25	0.00
16.20	33.70	32.50	29.70	27.30	1.40	2.20	0.20	0.00
16.30	33.90	32.50	29.70	27.40	1.60	2.50	0.60	0.00
16.40	33.90	32.50	29.70	27.40	1.70	2.00	0.53	0.00
16.50	33.70	32.50	29.70	27.30	1.70	2.00	0.04	0.00
16.60	33.80	32.60	29.90	27.40	1.70	2.20	0.02	0.00
16.70	33.80	32.60	29.90	27.40	1.90	2.40	0.27	0.00
16.80	33.70	32.40	29.70	27.30	1.70	2.50	0.67	0.00
16.90	33.80	32.40	29.60	27.30	1.90	2.40	0.21	0.00
17.00	33.80	32.40	29.60	27.30	2.20	2.00	0.74	0.00
17.10	33.70	32.40	29.70	27.30	2.20	2.40	0.44	0.00
17.20	33.70	32.50	29.80	27.20	1.90	2.00	0.15	0.00
17.30	33.70	32.50	29.80	27.20	1.40	2.00	0.94	0.00
17.40	33.60	32.30	29.60	27.30	1.40	2.00	0.75	0.00
17.50	33.70	32.40	29.70	27.30	1.90	1.70	0.62	0.00
17.60	33.70	32.40	29.70	27.30	1.70	2.50	0.41	0.00
17.70	33.70	32.50	29.70	27.30	1.90	2.20	0.29	0.00
