Ambient Temperature(C): 23.9
Ambient Pressure(in Hg): 29.9
Time(s)	T1(Deg C)	Wall Temp(Deg C)	Top Plate(Deg C)	Bottom Plate(Deg C)	P1(PSI)	P2(PSI)	Mass Flowrate(g/min)	Heater Energy (kJ)

0.00	38.00	36.80	32.40	29.00	2.00	2.40	0.00	0.00
0.10	37.80	36.80	32.40	29.10	1.00	2.20	0.00	0.00
0.20	37.80	36.80	32.40	29.10	1.30	2.20	0.00	0.00
0.30	37.80	36.70	32.30	29.00	1.30	2.00	0.00	0.00
0.40	37.90	36.80	32.50	29.00	1.30	2.00	0.00	0.00
0.50	37.90	36.80	32.50	29.00	1.70	2.50	0.00	0.00
0.60	37.90	36.80	32.50	29.10	1.70	2.40	0.00	0.00
0.70	37.90	36.80	32.50	29.10	1.70	2.50	0.00	0.00
0.80	37.80	36.80	32.40	29.00	1.30	2.50	0.00	0.00
0.90	37.80	36.60	32.40	28.90	1.90	0.80	0.00	0.00
1.00	37.80	36.60	32.40	28.90	1.70	2.00	0.00	0.00
1.10	37.90	36.90	32.50	29.10	1.90	2.40	0.00	0.00
1.20	37.80	36.70	32.50	29.00	1.60	2.00	0.00	0.00
1.30	37.80	36.70	32.50	29.00	1.40	2.00	0.00	0.00
1.40	37.80	36.90	32.40	29.10	1.40	2.00	0.00	0.00
1.50	37.80	36.90	32.40	29.10	1.70	2.20	0.00	0.00
1.60	37.90	36.90	32.40	29.00	1.70	2.70	0.00	0.00
1.70	37.80	36.80	32.40	29.00	1.70	2.00	0.00	0.00
1.80	37.80	36.80	32.40	29.00	1.40	2.20	0.00	0.00
1.90	37.80	37.00	32.50	29.10	1.90	2.20	0.00	0.00
2.00	37.80	36.80	32.40	29.00	1.40	2.00	0.00	0.00
2.10	37.80	36.80	32.40	29.00	1.90	2.20	0.00	0.00
2.20	37.80	36.90	32.40	29.10	1.60	2.40	0.00	0.00
2.30	37.80	36.80	32.50	29.00	1.60	2.40	0.00	0.00
2.40	37.80	36.80	32.50	29.00	1.40	2.20	0.00	0.00
2.50	37.80	36.70	32.40	29.00	1.40	2.20	0.00	0.00
2.60	37.90	36.90	32.60	29.10	2.00	2.40	0.00	0.00
2.70	37.90	36.90	32.60	29.10	1.70	2.50	0.00	0.00
2.80	37.80	36.80	32.40	29.00	1.60	2.20	0.00	0.00
2.90	37.90	36.80	32.50	29.10	1.90	2.20	0.00	0.00
3.00	37.90	36.80	32.50	29.10	2.00	2.70	0.00	0.00
3.10	37.90	36.80	32.40	29.10	1.90	2.40	0.00	0.00
3.20	38.00	36.80	32.40	29.10	1.90	2.40	0.00	0.00
3.30	38.00	36.80	32.40	29.10	1.30	2.50	0.00	0.00
3.40	37.90	36.80	32.50	29.00	1.70	2.00	0.00	0.00
3.50	37.90	36.80	32.50	29.00	1.70	1.10	0.00	0.00
3.60	37.80	36.80	32.50	29.10	1.40	2.40	0.00	0.00
3.70	37.80	36.70	32.40	29.00	1.60	2.40	0.00	0.00
3.80	37.80	36.70	32.40	29.00	1.70	2.40	0.00	0.00
3.90	37.80	36.70	32.40	28.90	1.90	2.20	0.00	0.00
4.00	37.90	36.80	32.60	29.10	1.90	2.50	0.00	0.00
4.10	37.90	36.80	32.60	29.10	1.40	2.40	0.00	0.00
4.20	37.70	36.80	32.40	29.00	1.40	2.40	0.00	0.00
4.30	37.90	36.90	32.50	29.00	1.40	2.40	0.00	0.00
4.40	37.90	36.90	32.50	29.00	1.30	2.00	0.00	0.00
4.50	37.90	36.80	32.50	29.20	1.70	2.20	0.00	0.00
4.60	37.80	36.80	32.40	29.10	1.60	2.20	0.00	0.00
4.70	37.80	36.80	32.40	29.10	1.60	2.20	0.00	0.00
4.80	38.00	36.80	32.40	29.10	1.40	2.20	0.00	0.00
4.90	38.00	36.80	32.40	29.10	1.90	2.40	0.00	0.00
5.00	37.80	36.80	32.40	29.00	1.60	2.70	0.00	0.00
5.10	37.80	36.80	32.30	29.00	1.60	2.70	0.00	0.00
5.20	37.80	36.80	32.30	29.00	1.40	2.40	0.00	0.00
5.30	37.70	36.50	32.20	28.90	1.60	2.70	0.00	0.00
5.40	37.90	36.90	32.50	29.10	1.70	2.20	0.00	0.00
5.50	37.90	36.90	32.50	29.10	1.60	2.40	0.00	0.00
5.60	37.80	36.80	32.50	29.00	1.60	2.40	0.00	0.00
5.70	37.90	36.80	32.50	29.00	1.60	2.00	0.00	0.00
5.80	37.90	36.80	32.50	29.00	1.60	2.20	0.00	0.00
5.90	37.80	36.60	32.50	29.00	1.30	2.70	0.00	0.00
6.00	37.90	36.80	32.50	29.20	1.30	2.70	0.00	0.00
6.10	37.90	36.80	32.50	29.20	2.00	2.20	0.00	0.00
