Ambient Temperature(C): 26.1
Ambient Pressure(in Hg): 30.06
30.06
Time(s)	T1(Deg C)	T2(Deg C)	P1(PSI)	P2(PSI)	Mass Flowrate(g/min)

0.00	25.60	24.40	0.50	1.10	0.00
0.10	25.60	24.40	0.50	1.00	0.00
0.20	25.80	24.50	0.70	1.00	0.00
0.30	25.80	24.50	0.70	0.80	0.00
0.40	26.00	24.50	0.70	0.80	0.00
0.50	25.70	24.30	0.20	1.10	0.00
0.60	25.70	24.30	0.70	1.00	0.00
0.70	25.90	24.40	0.70	1.30	0.00
0.80	25.70	24.30	0.70	1.00	0.00
0.90	25.70	24.30	0.00	0.70	0.00
1.00	25.80	24.40	0.00	1.10	0.00
1.10	25.70	24.40	0.50	0.70	0.00
1.20	25.70	24.40	0.20	1.00	0.00
1.30	25.70	24.30	0.20	1.00	0.00
1.40	25.70	24.30	0.50	1.30	0.00
1.50	25.70	24.40	0.70	1.40	0.00
1.60	25.70	24.40	-1.00	1.10	0.00
1.70	25.70	24.30	0.20	1.10	0.00
1.80	25.70	24.30	0.80	0.80	0.00
1.90	25.80	24.30	0.00	1.00	0.00
2.00	25.70	24.30	0.40	1.30	0.00
2.10	25.70	24.30	0.50	0.80	0.00
2.20	25.70	24.40	0.50	0.80	0.00
2.30	25.80	24.30	0.40	1.00	0.00
2.40	25.80	24.30	0.40	1.30	0.00
2.50	25.70	24.20	0.40	1.40	0.00
2.60	25.80	24.40	0.40	1.10	0.00
2.70	25.80	24.40	0.50	0.80	0.00
2.80	25.90	24.40	0.70	1.00	0.00
2.90	25.80	24.50	0.50	1.00	0.00
3.00	25.80	24.50	0.50	1.00	0.00
3.10	25.90	24.30	0.50	1.00	0.00
3.20	25.90	24.40	0.70	1.10	0.00
3.30	25.90	24.40	0.40	1.00	0.00
3.40	25.80	24.30	0.50	1.30	0.00
3.50	25.80	24.50	0.80	1.40	0.00
3.60	25.80	24.50	0.50	1.00	0.00
3.70	25.80	24.40	0.00	1.10	0.00
3.80	25.70	24.40	-0.10	1.10	0.00
3.90	25.70	24.40	0.00	1.10	0.00
4.00	25.80	24.30	0.00	1.10	0.00
4.10	25.90	24.40	0.70	1.40	0.00
4.20	25.90	24.40	0.70	1.10	0.00
4.30	25.90	24.40	0.70	1.10	0.00
4.40	25.70	24.40	0.20	1.10	0.00
4.50	25.70	24.40	0.40	0.80	0.00
4.60	25.90	24.50	0.80	1.00	0.00
4.70	26.10	24.60	0.70	1.10	0.00
4.80	26.10	24.60	0.50	1.10	0.00
4.90	25.80	24.40	0.50	1.10	0.00
5.00	25.80	24.40	0.70	1.00	0.00
5.10	25.80	24.40	0.40	1.00	0.00
5.20	25.80	24.30	0.80	1.00	0.00
5.30	25.90	24.30	0.80	1.00	0.00
5.40	25.90	24.30	0.40	0.80	0.00
5.50	25.90	24.40	0.50	0.80	0.00
5.60	25.70	24.30	0.50	1.10	0.00
5.70	25.80	24.40	0.50	1.10	0.00
5.80	25.80	24.40	0.80	1.30	0.00
5.90	26.00	24.50	0.70	1.00	0.00
6.00	25.80	24.50	-0.30	0.80	0.00
6.10	25.80	24.50	0.40	1.00	0.00
6.20	25.80	24.40	-0.10	1.30	0.00
6.30	25.80	24.40	0.20	1.40	0.00
6.40	25.80	24.40	0.40	1.40	0.00
6.50	25.80	24.50	0.00	1.10	0.00
6.60	25.80	24.50	0.00	1.10	0.00
6.70	25.80	24.40	0.00	1.30	0.00
6.80	25.90	24.50	0.20	1.40	0.00
6.90	25.80	24.40	0.50	0.80	0.00
7.00	25.80	24.40	0.20	0.80	0.00
7.10	25.80	24.50	0.40	1.00	0.00
7.20	25.90	24.40	0.50	1.30	0.00
7.30	25.90	24.40	0.70	1.40	0.00
7.40	25.90	24.40	0.80	1.10	0.00
7.50	25.90	24.40	0.80	1.10	0.00
7.60	25.90	24.40	0.20	1.40	0.00
7.70	26.00	24.50	0.20	0.80	0.00
7.80	25.90	24.50	0.40	1.30	0.00
7.90	25.90	24.50	0.20	1.10	0.00
8.00	25.80	24.40	0.20	0.80	0.00
8.10	25.80	24.40	0.50	0.70	0.00
8.20	25.80	24.40	0.50	0.80	0.00
8.30	25.80	24.40	0.70	1.00	0.00
8.40	26.00	24.50	0.70	1.00	0.00
8.50	25.90	24.40	0.50	1.40	0.00
8.60	25.90	24.40	0.50	0.80	0.00
8.70	25.80	24.50	0.80	0.70	0.00
8.80	25.90	24.50	0.40	1.30	0.00
8.90	25.90	24.50	0.40	0.50	0.00
9.00	25.90	24.50	0.50	2.40	0.00
9.10	25.90	24.50	0.50	0.80	0.00
9.20	25.90	24.50	0.80	1.10	0.00
9.30	25.90	24.50	0.80	1.10	0.00
9.40	25.90	24.50	0.00	1.10	0.00
9.50	25.90	24.50	-0.40	1.30	0.00
9.60	25.90	24.50	0.20	1.00	0.00
9.70	25.90	24.50	0.50	1.40	0.00
9.80	25.90	24.50	-0.10	1.10	0.00
9.90	25.90	24.50	0.40	1.00	0.00
10.00	25.90	24.40	0.20	0.80	0.00
10.10	25.90	24.40	0.50	1.40	0.00
10.20	26.00	24.60	0.50	1.40	0.00
10.30	26.00	24.60	0.70	1.00	0.00
10.40	25.90	24.50	0.50	1.40	0.00
10.50	25.90	24.50	0.50	1.00	0.00
10.60	25.90	24.50	0.20	1.10	0.00
10.70	25.90	24.50	0.50	1.00	0.00
10.80	25.90	24.50	0.00	1.00	0.00
10.90	25.90	24.40	0.00	0.80	0.00
11.00	25.90	24.40	0.00	1.30	0.00
11.10	25.90	24.50	0.00	1.30	0.00
11.20	25.90	24.50	0.20	1.00	0.00
11.30	25.90	24.50	0.40	1.30	0.00
11.40	26.00	24.60	0.70	1.30	0.00
11.50	26.00	24.60	0.70	0.80	0.00
11.60	26.00	24.60	0.20	1.40	0.00
11.70	25.90	24.40	0.50	1.30	0.00
11.80	25.90	24.40	0.20	1.40	0.00
11.90	26.00	24.60	0.50	1.30	0.00
12.00	26.00	24.60	0.50	1.30	0.00
12.10	25.90	24.50	0.00	1.10	0.00
12.20	25.90	24.50	0.40	1.00	0.00
12.30	26.00	24.50	0.80	0.80	0.00
12.40	26.00	24.30	0.80	1.10	0.00
12.50	26.00	24.30	0.40	1.40	0.00
12.60	26.00	24.70	0.80	1.40	0.00
12.70	26.00	24.40	0.40	1.30	0.00
12.80	26.00	24.40	0.50	0.50	0.00
